prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
study_type,Adverse Effect Mitigation Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Ancillary Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Basic Science Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Correlative Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Cure Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Device Feasibility Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Diagnosis Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Disease Modifying Treatment Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Early Detection Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Education Training Clinical Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Epidemiology Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Genomics Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Health Services Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Imaging Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Interventional,,A classification of the study based upon the primary intent of the study's,,,
study_type,Observational Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Outcomes Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Prevention Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Proteomic Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Rehabilitation Clinical Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Screening Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Supportive Care Study,,A classification of the study based upon the primary intent of the study's,,,
study_type,Transcriptomics Research,,A classification of the study based upon the primary intent of the study's,,,
study_type,Treatment Study,,A classification of the study based upon the primary intent of the study's,,,
study_age_group,https://cadsr.cancer.gov/onedata/Home.jsp,,The identifiable class of the study participant based upon their age.,,,
image_type_included,CT,,"A system of categories for representing a specific manner, characteristic,",,,
image_type_included,DX,,"A system of categories for representing a specific manner, characteristic,",,,
image_type_included,MR,,"A system of categories for representing a specific manner, characteristic,",,,
image_type_included,NM,,"A system of categories for representing a specific manner, characteristic,",,,
image_type_included,PT,,"A system of categories for representing a specific manner, characteristic,",,,
image_type_included,US,,"A system of categories for representing a specific manner, characteristic,",,,
collection_access,Cloud,,The methods by which a user can obtain an image set. Indicator as to whether,,,
collection_access,Download,,The methods by which a user can obtain an image set. Indicator as to whether,,,
collection_access,Unrestricted,,The methods by which a user can obtain an image set. Indicator as to whether,,,
biomarker_results_available,Yes,,An indicator as to whether any biomarker results relating to the,,,
biomarker_results_available,No,,An indicator as to whether any biomarker results relating to the,,,
biomarker_results_available,Unknown,,An indicator as to whether any biomarker results relating to the,,,
radiology_report_available,Yes,,An indicator as to whether any radiology reports results,,,
radiology_report_available,No,,An indicator as to whether any radiology reports results,,,
radiology_report_available,Unknown,,An indicator as to whether any radiology reports results,,,
radiology_images_available,Yes,,An indicator as to whether any radiology images relating,,,
radiology_images_available,No,,An indicator as to whether any radiology images relating,,,
radiology_images_available,Unknown,,An indicator as to whether any radiology images relating,,,
histology_images_available,Yes,,An indicator as to whether any histology images relating,,,
histology_images_available,No,,An indicator as to whether any histology images relating,,,
histology_images_available,Unknown,,An indicator as to whether any histology images relating,,,
race,American Indian or Alaska Native,,The text for reporting information about race based on the Office of Management,,,
race,Asian,,The text for reporting information about race based on the Office of Management,,,
race,Black or African American,,The text for reporting information about race based on the Office of Management,,,
race,Native Hawaiian or other Pacific Islander,,The text for reporting information about race based on the Office of Management,,,
race,White,,The text for reporting information about race based on the Office of Management,,,
race,Not Reported,,The text for reporting information about race based on the Office of Management,,,
race,Unknown,,The text for reporting information about race based on the Office of Management,,,
ethnicity,Hispanic or Latino,,The text for reporting information about ethnicity based on the Office,,,
ethnicity,Not Hispanic or Latino,,The text for reporting information about ethnicity based on the Office,,,
ethnicity,Not reported,,The text for reporting information about ethnicity based on the Office,,,
ethnicity,Unknown,,The text for reporting information about ethnicity based on the Office,,,
sex,Female,,A textual description of a person's sex at birth. CDE ID = 7572817,,,
sex,Intersex,,A textual description of a person's sex at birth. CDE ID = 7572817,,,
sex,Male,,A textual description of a person's sex at birth. CDE ID = 7572817,,,
sex,Unknown,,A textual description of a person's sex at birth. CDE ID = 7572817,,,
highest_level_of_education,No formal education,,An indication as to the highest level of education attained by,,,
highest_level_of_education,Grade school,,An indication as to the highest level of education attained by,,,
highest_level_of_education,Not high school graduate,,An indication as to the highest level of education attained by,,,
highest_level_of_education,High school graduate (including equivalency),,An indication as to the highest level of education attained by,,,
highest_level_of_education,Some college or Associate degree,,An indication as to the highest level of education attained by,,,
highest_level_of_education,Bachelor's degree,,An indication as to the highest level of education attained by,,,
highest_level_of_education,Master's degree,,An indication as to the highest level of education attained by,,,
highest_level_of_education,Doctoral or professional degree,,An indication as to the highest level of education attained by,,,
highest_level_of_education,Declined to answer,,An indication as to the highest level of education attained by,,,
highest_level_of_education,NA,,An indication as to the highest level of education attained by,,,
environmental_exposure_type,Asbestos Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Chemical Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Marijuana Smoke Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Radiation Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Radon Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Respirable Crystalline Silica Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Smoke Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Smokeless Tobacco Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Tobacco Related Exposure,,"The category related to contact with chemical, biological, or physical",,,
environmental_exposure_type,Wood Dust Exposure,,"The category related to contact with chemical, biological, or physical",,,
carcinogen_exposure,Yes,,An indication of whether the participant was exposed to environmental/workplace,,,
carcinogen_exposure,No,,An indication of whether the participant was exposed to environmental/workplace,,,
carcinogen_exposure,Unknown,,An indication of whether the participant was exposed to environmental/workplace,,,
