prop_handle,enum_value,term_value,http_status,passed,notes
study_type,Adverse Effect Mitigation Study,Adverse Effect Mitigation Study,200,True,
study_type,Ancillary Study,Ancillary Study,200,True,
study_type,Basic Science Research,Basic Science Research,200,True,
study_type,Correlative Study,Correlative Study,200,True,
study_type,Cure Study,Cure Study,200,True,
study_type,Device Feasibility Study,Device Feasibility Study,200,True,
study_type,Diagnosis Study,Diagnosis Study,200,True,
study_type,Disease Modifying Treatment Study,Disease Modifying Treatment Study,200,True,
study_type,Early Detection Study,Early Detection Study,200,True,
study_type,Education Training Clinical Study,Education Training Clinical Study,200,True,
study_type,Epidemiology Research,Epidemiology Research,200,True,
study_type,Genomics Research,Genomics Research,200,True,
study_type,Health Services Research,Health Services Research,200,True,
study_type,Imaging Research,Imaging Research,200,True,
study_type,Interventional,Interventional,200,True,
study_type,Observational Study,Observational Study,200,True,
study_type,Outcomes Research,Outcomes Research,200,True,
study_type,Prevention Study,Prevention Study,200,True,
study_type,Proteomic Research,Proteomic Research,200,True,
study_type,Rehabilitation Clinical Study,Rehabilitation Clinical Study,200,True,
study_type,Screening Study,Screening Study,200,True,
study_type,Supportive Care Study,Supportive Care Study,200,True,
study_type,Transcriptomics Research,Transcriptomics Research,200,True,
study_type,Treatment Study,Treatment Study,200,True,
image_type_included,CT,CT,200,True,
image_type_included,DX,DX,200,True,
image_type_included,MR,MR,200,True,
image_type_included,NM,NM,200,True,
image_type_included,PT,PT,200,True,
image_type_included,US,US,200,True,
collection_access,Cloud,Cloud,200,True,
collection_access,Download,Download,200,True,
collection_access,Unrestricted,Unrestricted,200,True,
biomarker_results_available,Yes,Yes,200,True,
biomarker_results_available,No,No,200,True,
biomarker_results_available,Unknown,Unknown,200,True,
radiology_report_available,Yes,Yes,200,True,
radiology_report_available,No,No,200,True,
radiology_report_available,Unknown,Unknown,200,True,
radiology_images_available,Yes,Yes,200,True,
radiology_images_available,No,No,200,True,
radiology_images_available,Unknown,Unknown,200,True,
histology_images_available,Yes,Yes,200,True,
histology_images_available,No,No,200,True,
histology_images_available,Unknown,Unknown,200,True,
race,American Indian or Alaska Native,American Indian or Alaska Native,200,True,
race,Asian,Asian,200,True,
race,Black or African American,Black or African American,200,True,
race,Native Hawaiian or other Pacific Islander,Native Hawaiian or other Pacific Islander,200,True,
race,White,White,200,True,
race,Not Reported,Not Reported,200,True,
race,Unknown,Unknown,200,True,
ethnicity,Hispanic or Latino,Hispanic or Latino,200,True,
ethnicity,Not Hispanic or Latino,Not Hispanic or Latino,200,True,
ethnicity,Not reported,Not reported,200,True,
ethnicity,Unknown,Unknown,200,True,
sex,Female,Female,200,True,
sex,Intersex,Intersex,200,True,
sex,Male,Male,200,True,
sex,Unknown,Unknown,200,True,
highest_level_of_education,No formal education,No formal education,200,True,
highest_level_of_education,Grade school,Grade school,200,True,
highest_level_of_education,Not high school graduate,Not high school graduate,200,True,
highest_level_of_education,High school graduate (including equivalency),High school graduate (including equivalency),200,True,
highest_level_of_education,Some college or Associate degree,Some college or Associate degree,200,True,
highest_level_of_education,Bachelor's degree,Bachelor's degree,200,True,
highest_level_of_education,Master's degree,Master's degree,200,True,
highest_level_of_education,Doctoral or professional degree,Doctoral or professional degree,200,True,
highest_level_of_education,Declined to answer,Declined to answer,200,True,
highest_level_of_education,NA,NA,200,True,
environmental_exposure_type,Asbestos Exposure,Asbestos Exposure,200,True,
environmental_exposure_type,Chemical Exposure,Chemical Exposure,200,True,
environmental_exposure_type,Marijuana Smoke Exposure,Marijuana Smoke Exposure,200,True,
environmental_exposure_type,Radiation Exposure,Radiation Exposure,200,True,
environmental_exposure_type,Radon Exposure,Radon Exposure,200,True,
environmental_exposure_type,Respirable Crystalline Silica Exposure,Respirable Crystalline Silica Exposure,200,True,
environmental_exposure_type,Smoke Exposure,Smoke Exposure,200,True,
environmental_exposure_type,Smokeless Tobacco Exposure,Smokeless Tobacco Exposure,200,True,
environmental_exposure_type,Tobacco Related Exposure,Tobacco Related Exposure,200,True,
environmental_exposure_type,Wood Dust Exposure,Wood Dust Exposure,200,True,
carcinogen_exposure,Yes,Yes,200,True,
carcinogen_exposure,No,No,200,True,
carcinogen_exposure,Unknown,Unknown,200,True,
carcinogen_exposure,NA,NA,200,True,
diagnosis_classification_system,NCI Thesaurus,NCI Thesaurus,200,True,
diagnosis_classification_system,MedDRA,MedDRA,200,True,
diagnosis_classification_system,ICD-O-3,ICD-O-3,200,True,
diagnosis_classification_system,ICD-10-CM,ICD-10-CM,200,True,
primary_diagnosis_disease_group,"Colorectal cancer, NOS","Colorectal cancer, NOS",200,True,
primary_diagnosis_disease_group,"Acute myeloid leukemia, NOS","Acute myeloid leukemia, NOS",200,True,
primary_diagnosis_disease_group,Adenocarcinoma of the gastroesophageal junction,Adenocarcinoma of the gastroesophageal junction,200,True,
primary_diagnosis_disease_group,Melanoma,Melanoma,200,True,
primary_diagnosis_disease_group,"Myeloma, NOS","Myeloma, NOS",200,True,
primary_diagnosis_disease_group,"Non-small cell lung cancer, NOS","Non-small cell lung cancer, NOS",200,True,
primary_diagnosis_disease_group,"Prostate cancer, NOS","Prostate cancer, NOS",200,True,
primary_diagnosis_disease_group,Small cell lung cancer,Small cell lung cancer,200,True,
primary_diagnosis_disease_group,Invasive breast carcinoma,Invasive breast carcinoma,200,True,
primary_diagnosis_disease_group,Fallopian tube carcinoma,Fallopian tube carcinoma,200,True,
primary_diagnosis_disease_group,"Gastric cancer, NOS","Gastric cancer, NOS",200,True,
primary_diagnosis_disease_group,Primary peritoneal carcinoma,Primary peritoneal carcinoma,200,True,
primary_diagnosis_disease_group,"Esophageal cancer, NOS","Esophageal cancer, NOS",200,True,
primary_diagnosis_disease_group,Ovarian epithelial cancer,Ovarian epithelial cancer,200,True,
ctep_disease_term,Acute Myeloid Leukemia Not Otherwise Specified,Acute Myeloid Leukemia Not Otherwise Specified,200,True,
ctep_disease_term,Adenocarcinoma of the Gastroesophageal Junction,Adenocarcinoma of the Gastroesophageal Junction,200,True,
ctep_disease_term,Colorectal Carcinoma,Colorectal Carcinoma,200,True,
ctep_disease_term,Gastric Carcinoma,Gastric Carcinoma,200,True,
ctep_disease_term,Invasive Breast Carcinoma,Invasive Breast Carcinoma,200,True,
ctep_disease_term,Melanoma,Melanoma,200,True,
ctep_disease_term,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,200,True,
